kmeans
compression-ratio,8.0,16.0,32.0
gram-large-dim-frob-error (0),33210.24898126798,48514.2675248272,61624.61250479767
gram-large-dim-frob-error (1),33386.701084615466,48509.72004954743,61609.58024252434
gram-large-dim-frob-error (2),32372.48366041596,48505.27529857044,61612.30877564096
gram-large-dim-frob-error (3),33123.46724127779,48511.021760822914,61624.62748153342
gram-large-dim-frob-error (4),33200.60278592319,48395.94052549975,61624.86046053996
gram-large-dim-frob-error (avg.),33058.700750700074,48487.24503185354,61619.197893007266
gram-large-dim-frob-error (st. dev.),353.7727706133081,45.743366263815105,6.7944427639786955
uniform (adaptive-det)
compression-ratio,8.0,16.0,32.0
gram-large-dim-frob-error (0),35938.53143901802,49639.48209158348,63192.66073974992
gram-large-dim-frob-error (1),35952.16023631459,49663.65764362175,63214.91707327918
gram-large-dim-frob-error (2),35965.15864532398,49642.66030400275,63203.52390390712
gram-large-dim-frob-error (3),35936.25042800311,49609.44292925111,63171.30829315455
gram-large-dim-frob-error (4),35932.0402448065,49616.123940080375,63177.35325837661
gram-large-dim-frob-error (avg.),35944.82819869324,49634.27338170789,63191.95265369348
gram-large-dim-frob-error (st. dev.),12.19708926683291,19.528745853071523,16.131284821475145
DCCL
compression-ratio,8.0,16.0,32.0
gram-large-dim-frob-error (0),13639.0255912208,17069.467716673975,25962.65005256885
gram-large-dim-frob-error (1),13682.61951974562,17487.676176363897,25302.376234378644
gram-large-dim-frob-error (2),13233.500661873044,16821.624661012167,25203.654412536092
gram-large-dim-frob-error (3),13276.880985065814,17931.52900488711,25920.580161400983
gram-large-dim-frob-error (4),13597.871513972315,17078.290884103262,27337.5072737431
gram-large-dim-frob-error (avg.),13485.979654375518,17277.71768860808,25945.353626925535
gram-large-dim-frob-error (st. dev.),190.8287079261421,390.56670489492376,761.9110603257958
Dim. reduction
compression-ratio,1.0,2.0,4.0,8.0
gram-large-dim-frob-error (0),0.0,14459.401578848087,19030.75639873379,23728.12445324226
gram-large-dim-frob-error (1),0.0,14459.401578848087,19030.75639873379,23728.12445324226
gram-large-dim-frob-error (2),0.0,14459.401578848087,19030.75639873379,23728.12445324226
gram-large-dim-frob-error (3),0.0,14459.401578848087,19030.75639873379,23728.12445324226
gram-large-dim-frob-error (4),0.0,14459.401578848087,19030.75639873379,23728.12445324226
gram-large-dim-frob-error (avg.),0.0,14459.401578848087,19030.75639873379,23728.12445324226
gram-large-dim-frob-error (st. dev.),0.0,0.0,0.0,0.0
