kmeans
compression-ratio,8.0,16.0,32.0
gram-frob-error (0),12819.93653643626,29220.181876282513,40937.75350547519
gram-frob-error (1),13756.874656242207,29215.97448497746,40932.58827813174
gram-frob-error (2),13025.805969668885,29213.98519330673,40935.712784297604
gram-frob-error (3),12890.741019058263,29213.742205376046,40955.90555870976
gram-frob-error (4),12981.887868330441,29225.80010447834,40954.71920023711
gram-frob-error (avg.),13095.049209947214,29217.93677288422,40943.33586537028
gram-frob-error (st. dev.),338.53858182339525,4.55921977086035,9.923328492273157
uniform (adaptive-det)
compression-ratio,8.0,16.0,32.0
gram-frob-error (0),15918.775243788858,29263.57801805087,40921.383721933904
gram-frob-error (1),15918.775243788858,29263.57801805087,40921.383721933904
gram-frob-error (2),15918.775243788858,29263.57801805087,40921.383721933904
gram-frob-error (3),15918.775243788858,29263.57801805087,40921.383721933904
gram-frob-error (4),15918.775243788858,29263.57801805087,40921.383721933904
gram-frob-error (avg.),15918.77524378886,29263.578018050866,40921.383721933904
gram-frob-error (st. dev.),1.8189894035458565e-12,3.637978807091713e-12,0.0
DCCL
compression-ratio,8.0,16.0,32.0
gram-frob-error (0),11831.502288877746,15746.75595448831,23049.590412642305
gram-frob-error (1),11814.738948659482,16736.760299526304,23847.997936429518
gram-frob-error (2),11699.195358754841,15485.810484635904,25612.131678413167
gram-frob-error (3),11958.932974605143,15807.005678614842,24267.581870460035
gram-frob-error (4),11854.092405822792,17410.046055106737,23131.576762315162
gram-frob-error (avg.),11831.692395344002,16237.275694474421,23981.77573205204
gram-frob-error (st. dev.),83.10817731128897,723.2312289887626,932.6789283620677
Dim. reduction
compression-ratio,1.0,1.4999999999999998,2.9999999999999996,5.999999999999999
gram-frob-error (0),0.0,0.0,0.0,0.0
gram-frob-error (1),0.0,0.0,0.0,0.0
gram-frob-error (2),0.0,0.0,0.0,0.0
gram-frob-error (3),0.0,0.0,0.0,0.0
gram-frob-error (4),0.0,0.0,0.0,0.0
gram-frob-error (avg.),0.0,0.0,0.0,0.0
gram-frob-error (st. dev.),0.0,0.0,0.0,0.0
