kmeans
compression-ratio,8.0,16.0,32.0
gram-large-dim-frob-error (0),12819.9365364363,29220.181876282357,40937.7535054748
gram-large-dim-frob-error (1),13756.874656242186,29215.974484977447,40932.58827813195
gram-large-dim-frob-error (2),13025.805969668905,29213.985193306584,40935.71278429751
gram-large-dim-frob-error (3),12890.741019058245,29213.74220537605,40955.90555870981
gram-large-dim-frob-error (4),12981.887868330472,29225.800104478356,40954.71920023721
gram-large-dim-frob-error (avg.),13095.049209947221,29217.93677288416,40943.33586537026
gram-large-dim-frob-error (st. dev.),338.5385818233795,4.559219770875772,9.923328492322462
uniform (adaptive-det)
compression-ratio,8.0,16.0,32.0
gram-large-dim-frob-error (0),16308.435746464802,30924.610139822067,43377.587594945035
gram-large-dim-frob-error (1),16317.391126496608,30959.533329432157,43400.543294478375
gram-large-dim-frob-error (2),16322.86198199728,30980.034605830188,43400.5674970479
gram-large-dim-frob-error (3),16312.140562964836,30930.628167661765,43386.68072799832
gram-large-dim-frob-error (4),16342.635391957743,30941.463494779673,43390.45364815733
gram-large-dim-frob-error (avg.),16320.692961976252,30947.253947505167,43391.16655252539
gram-large-dim-frob-error (st. dev.),12.003831553495695,20.238788033315032,8.73292609453407
DCCL
compression-ratio,8.0,16.0,32.0
gram-large-dim-frob-error (0),11831.502288877731,15746.755954488279,23049.590412642367
gram-large-dim-frob-error (1),11814.738948659451,16736.760299526402,23847.997936429452
gram-large-dim-frob-error (2),11699.195358754861,15485.810484635926,25612.131678413152
gram-large-dim-frob-error (3),11958.932974605124,15807.005678614914,24267.58187046014
gram-large-dim-frob-error (4),11854.092405822825,17410.0460551068,23131.57676231516
gram-large-dim-frob-error (avg.),11831.692395343998,16237.275694474465,23981.775732052054
gram-large-dim-frob-error (st. dev.),83.10817731128004,723.2312289887873,932.6789283620593
Dim. reduction
compression-ratio,1.0,1.5,3.0,6.0
gram-large-dim-frob-error (0),0.0,21563.243381340606,27705.353372227473,30149.89188621828
gram-large-dim-frob-error (1),0.0,21563.243381340606,27705.353372227473,30149.89188621828
gram-large-dim-frob-error (2),0.0,21563.243381340606,27705.353372227473,30149.89188621828
gram-large-dim-frob-error (3),0.0,21563.243381340606,27705.353372227473,30149.89188621828
gram-large-dim-frob-error (4),0.0,21563.243381340606,27705.353372227473,30149.89188621828
gram-large-dim-frob-error (avg.),0.0,21563.243381340606,27705.35337222747,30149.891886218284
gram-large-dim-frob-error (st. dev.),0.0,0.0,3.637978807091713e-12,3.637978807091713e-12
